 Name, Phone, Email
 1 BOXOFFICE DMCC, , 
 1 INTERNATIONAL FINCENTRE ASSOCIATES DMCC, , 
 1000HEADS CONSULTING DMCC, , 
 108 CONSULTING DMCC,+97145845300,info@108dmcc.com
 10TEN DMCC, , 
 10X IT SOLUTIONS DMCC,+971509600215,anas@10xitsolutions.com
 1291 GROUP DMCC, , 
 12D MODEL DMCC,+97144295866,admin@gcsolutionsltd.co.uk
 168 ASSET MANAGEMENT SFO DMCC, , 
 19 FAMILY &amp; BUSINESS DMCC, , 
 1ASSURE DMCC, , 
 1ENERGIN DMCC, , 
 1F SOFT DMCC,+97145539901,mohamed@globallink.ae
 1GP HOLDINGS PTY. LTD. (DMCC BRANCH), , 
 21ST CENTURY GROUP HOLDINGS LIMITED (BRANCH),+97144269023,bhavani@areefinvestments.com
 22 MARITIME DMCC, , 
 237 COMMUNICATIONS DMCC, , 
 24K MANAGEMENT DMCC,+971564256891,info@24kdu.com
 24TTL DIGITAL MARKETING SOLUTIONS DMCC, , 
 24VISION SHIPPING RISK SOLUTIONS DMCC,+971502729864,frederikdepreter@24vision.solutions
 25TH PARALLEL SERVICES DMCC, , 
 271 CONTAINERS DMCC, , 
 2A IT SERVICES DMCC, , 
 2BEROSE DMCC, , 
 2DFINE SERVICES DMCC, , 
 2G GLOBAL MARKETS DMCC, , 
 2ID GROUP DMCC,+971502377872,alia@2id-events.com
 2M KABLO DMCC,+971501643353,uae@2mkablo.com
 2POINT0 CONCEPTS DMCC,+97144229757,jenna@2point0concepts.com
 3 X DIAMONDS DMCC,+97144341915,3xdiamondsdmcc@gmail.com
 321 EVENTS DMCC,+97144503505,namyukta@321-events.com
 333 TRADING DMCC,+97143637752,afattah@333tradingjlt.ae
 360 DECORO DMCC,+971563531005,dubai@360decoro.com
 360 EXPANSION CONSULTING DMCC,+97143698916,office@360exco.com
 3A COMPOSITES MIDDLE EAST (BRANCH),+971566446002,amgad.ragheb@3acomposites.com
 3B TRADING DMCC,+97144328300,arlene.villanueva@bbenergy.com
 3BFAB 3D PRINTING SOLUTIONS DMCC,+97142443135,info@3bfab-dmcc.ae
 3CORE DMCC,+971505583613,info@3core-os.com
 3CUBE TECHMED DMCC, , 
 3CX SOFTWARE DMCC, , 
 3D METAL TRADING DMCC,+97142955727,cs@m-hq.com
 3EX DIAM ME DMCC, , 
 3F MUSIC DMCC,+971555555553,fardinfard@gmail.com
 3FIVE8 TECHNOLOGIES DMCC, , 
 3G TECHNOLOGY DMCC, , 
